signal,time,value,element_index
replay_left_torque_filelog,2.55,2.10997743624743,1
replay_left_torque_filelog,2.56,2.09567947301043,1
replay_left_torque_filelog,2.57,2.07980332820618,1
replay_left_torque_filelog,2.58,2.06450204128781,1
replay_left_torque_filelog,2.59,2.04848255961151,1
replay_left_torque_filelog,2.6,2.22304919591731,1
replay_left_torque_filelog,2.61,2.01283200492889,1
replay_left_torque_filelog,2.62,2.14610177455223,1
replay_left_torque_filelog,2.63,2.10968410391175,1
replay_left_torque_filelog,2.64,2.12475988339737,1
replay_left_torque_filelog,2.65,2.22600655390132,1
replay_left_torque_filelog,2.66,2.1572086386843,1
replay_left_torque_filelog,2.67,2.15489910297614,1
replay_left_torque_filelog,2.68,2.17956569344968,1
replay_left_torque_filelog,2.69,2.18060781550145,1
replay_left_torque_filelog,2.7,2.18135377734681,1
replay_left_torque_filelog,2.71,2.17647849259829,1
replay_left_torque_filelog,2.72,2.17686390428367,1
replay_left_torque_filelog,2.73,2.18297458854261,1
replay_left_torque_filelog,2.74,2.18923598165645,1
replay_left_torque_filelog,2.75,2.19325249397004,1
replay_left_torque_filelog,2.76,2.19618490277311,1
replay_left_torque_filelog,2.77,2.19715047297483,1
replay_left_torque_filelog,2.78,2.19537012701772,1
replay_left_torque_filelog,2.79,2.18725290968405,1
replay_left_torque_filelog,2.8,2.17060754424201,1
replay_left_torque_filelog,2.81,2.14908176492003,1
replay_left_torque_filelog,2.82,2.24524158131531,1
replay_left_torque_filelog,2.83,2.22226223466257,1
replay_left_torque_filelog,2.84,2.08438715837389,1
replay_left_torque_filelog,2.85,2.27060582184485,1
replay_left_torque_filelog,2.86,2.14977367414326,1
replay_left_torque_filelog,2.87,2.11794607743814,1
replay_left_torque_filelog,2.88,2.28028985468001,1
replay_left_torque_filelog,2.89,2.23420432800923,1
replay_left_torque_filelog,2.9,2.16168688080716,1
replay_left_torque_filelog,2.91,2.17046454419439,1
replay_left_torque_filelog,2.92,2.29045345756008,1
replay_left_torque_filelog,2.93,2.1595535789011,1
replay_left_torque_filelog,2.94,2.14464049813921,1
replay_left_torque_filelog,2.95,2.12941377782051,1
replay_left_torque_filelog,2.96,2.11708879354369,1
replay_left_torque_filelog,2.97,2.10831343700697,1
replay_left_torque_filelog,2.98,2.10203035390469,1
replay_left_torque_filelog,2.99,2.09630973680589,1
replay_left_torque_filelog,3,2.08971092271217,1
replay_left_torque_filelog,3.01,2.08135371981979,1
replay_left_torque_filelog,3.02,2.05623261863166,1
replay_left_torque_filelog,3.03,2.04918902738513,1
replay_left_torque_filelog,3.04,2.0585648173598,1
replay_left_torque_filelog,3.05,2.18706402215347,1
replay_left_torque_filelog,3.06,2.32136728204328,1
replay_left_torque_filelog,3.07,2.22822339257482,1
replay_left_torque_filelog,3.08,2.08460919907009,1
replay_left_torque_filelog,3.09,2.34437010396345,1
replay_left_torque_filelog,3.1,2.12179596657357,1
replay_left_torque_filelog,3.11,2.04379872509573,1
replay_left_torque_filelog,3.12,2.31593372981595,1
replay_left_torque_filelog,3.13,2.34409287727464,1
replay_left_torque_filelog,3.14,2.43359550934669,1
replay_left_torque_filelog,3.15,2.38422034741828,1
replay_left_torque_filelog,3.16,2.39969624778776,1
replay_left_torque_filelog,3.17,2.33528429281457,1
replay_left_torque_filelog,3.18,2.28492730957753,1
replay_left_torque_filelog,3.19,2.53488352211888,1
replay_left_torque_filelog,3.2,2.43877067980105,1
replay_left_torque_filelog,3.21,2.12601566212056,1
replay_left_torque_filelog,3.22,2.30566219815022,1
replay_left_torque_filelog,3.23,2.23631615957818,1
replay_left_torque_filelog,3.24,2.35715996716557,1
replay_left_torque_filelog,3.25,2.07210104207213,1
replay_left_torque_filelog,3.26,2.37969702999123,1
replay_left_torque_filelog,3.27,2.18741552091719,1
replay_left_torque_filelog,3.28,2.08671690572985,1
replay_left_torque_filelog,3.29,2.3326154979645,1
replay_left_torque_filelog,3.3,2.16267946277243,1
replay_left_torque_filelog,3.31,2.22741019233926,1
replay_left_torque_filelog,3.32,2.28393057896115,1
replay_left_torque_filelog,3.33,2.18884037027742,1
replay_left_torque_filelog,3.34,2.23344658770411,1
replay_left_torque_filelog,3.35,2.22451010182552,1
replay_left_torque_filelog,3.36,2.23315966998079,1
replay_left_torque_filelog,3.37,2.23478267454485,1
replay_left_torque_filelog,3.38,2.52456857588186,1
replay_left_torque_filelog,3.39,2.2309496982294,1
replay_left_torque_filelog,3.4,2.20937454146457,1
replay_left_torque_filelog,3.41,2.18475988102919,1
replay_left_torque_filelog,3.42,2.15945150796529,1
replay_left_torque_filelog,3.43,2.26248000647448,1
replay_left_torque_filelog,3.44,2.170414773302,1
replay_left_torque_filelog,3.45,2.1720265898212,1
replay_left_torque_filelog,3.46,2.27260727747423,1
replay_left_torque_filelog,3.47,2.21610907211397,1
replay_left_torque_filelog,3.48,2.18074499981438,1
replay_left_torque_filelog,3.49,2.45848841702759,1
replay_left_torque_filelog,3.5,2.22353604596335,1
replay_left_torque_filelog,3.51,2.26570740356372,1
replay_left_torque_filelog,3.52,2.41052747628791,1
replay_left_torque_filelog,3.53,2.40778748048019,1
replay_left_torque_filelog,3.54,2.11133879051703,1
replay_left_torque_filelog,3.55,2.54251761861862,1
replay_left_torque_filelog,3.56,2.59966961012854,1
replay_left_torque_filelog,3.57,2.3845574519543,1
replay_left_torque_filelog,3.58,2.40784648748385,1
replay_left_torque_filelog,3.59,2.29990941981696,1
replay_left_torque_filelog,3.6,2.12896573476026,1
replay_left_torque_filelog,3.61,2.32278895925216,1
replay_left_torque_filelog,3.62,2.25573204331138,1
replay_left_torque_filelog,3.63,2.30613474971832,1
replay_left_torque_filelog,3.64,2.02908185605502,1
replay_left_torque_filelog,3.65,2.38376432269605,1
replay_left_torque_filelog,3.66,2.16356177621162,1
replay_left_torque_filelog,3.67,2.4086341767182,1
replay_left_torque_filelog,3.68,2.55849265199742,1
replay_left_torque_filelog,3.69,2.26409434036726,1
replay_left_torque_filelog,3.7,2.32214451088209,1
replay_left_torque_filelog,3.71,2.30619462004139,1
replay_left_torque_filelog,3.72,2.25845828013368,1
replay_left_torque_filelog,3.73,2.2720798564096,1
replay_left_torque_filelog,3.74,2.38601109395457,1
replay_left_torque_filelog,3.75,2.11359956236967,1
replay_left_torque_filelog,3.76,2.12585722459419,1
replay_left_torque_filelog,3.77,2.13998711475114,1
replay_left_torque_filelog,3.78,2.22094271316362,1
replay_left_torque_filelog,3.79,2.19349356187593,1
replay_left_torque_filelog,3.8,2.17819957845851,1
replay_left_torque_filelog,3.81,2.15297471653667,1
replay_left_torque_filelog,3.82,2.18807563741494,1
replay_left_torque_filelog,3.83,2.33208900340385,1
replay_left_torque_filelog,3.84,2.42791762380974,1
replay_left_torque_filelog,3.85,2.46105507177068,1
replay_left_torque_filelog,3.86,2.14831077106397,1
replay_left_torque_filelog,3.87,2.17315911846518,1
replay_left_torque_filelog,3.88,2.15647988852629,1
replay_left_torque_filelog,3.89,2.15578947052438,1
replay_left_torque_filelog,3.9,2.17036337219841,1
replay_left_torque_filelog,3.91,2.39190118552397,1
replay_left_torque_filelog,3.92,2.09874372217035,1
replay_left_torque_filelog,3.93,2.34715632723431,1
replay_left_torque_filelog,3.94,2.16013385101084,1
replay_left_torque_filelog,3.95,2.19543211175362,1
replay_left_torque_filelog,3.96,2.16598770319198,1
replay_left_torque_filelog,3.97,2.43040036474181,1
replay_left_torque_filelog,3.98,2.19689403537034,1
replay_left_torque_filelog,3.99,2.49080599731423,1
replay_left_torque_filelog,4,2.38252595083775,1
replay_left_torque_filelog,4.01,2.21598381413729,1
replay_left_torque_filelog,4.02,2.22626406388961,1
replay_left_torque_filelog,4.03,2.23143175841042,1
replay_left_torque_filelog,4.04,2.22993341230191,1
replay_left_torque_filelog,4.05,2.22655402579246,1
replay_left_torque_filelog,4.06,2.2227647638034,1
replay_left_torque_filelog,4.07,2.21871408013137,1
replay_left_torque_filelog,4.08,2.21581939370671,1
replay_left_torque_filelog,4.09,2.21428263008417,1
replay_left_torque_filelog,4.1,2.21308704712441,1
replay_left_torque_filelog,4.11,2.21055315859322,1
replay_left_torque_filelog,4.12,2.20604546997007,1
replay_left_torque_filelog,4.13,2.19872454577371,1
replay_left_torque_filelog,4.14,2.18871507438618,1
replay_left_torque_filelog,4.15,2.17290997469754,1
replay_left_torque_filelog,4.16,2.15609592359142,1
replay_left_torque_filelog,4.17,2.13610612187858,1
replay_left_torque_filelog,4.18,2.11570600087638,1
replay_left_torque_filelog,4.19,2.09449450106424,1
replay_left_torque_filelog,4.2,2.07487780066986,1
replay_left_torque_filelog,4.21,2.05472925959323,1
replay_left_torque_filelog,4.22,2.04259407157516,1
replay_left_torque_filelog,4.23,2.13685385298506,1
replay_left_torque_filelog,4.24,2.24818805954431,1
replay_left_torque_filelog,4.25,2.22623774816691,1
replay_left_torque_filelog,4.26,2.09916004918017,1
replay_left_torque_filelog,4.27,2.113528187527,1
replay_left_torque_filelog,4.28,2.1112635922306,1
replay_left_torque_filelog,4.29,2.08211482134425,1
replay_left_torque_filelog,4.3,2.05940078973826,1
replay_left_torque_filelog,4.31,2.02525617448773,1
replay_left_torque_filelog,4.32,1.99433745106627,1
replay_left_torque_filelog,4.33,1.95549701065047,1
replay_left_torque_filelog,4.34,2.35040768676969,1
replay_left_torque_filelog,4.35,1.94919457163993,1
replay_left_torque_filelog,4.36,1.99051439723683,1
replay_left_torque_filelog,4.37,2.18203817230697,1
replay_left_torque_filelog,4.38,2.06125515360223,1
replay_left_torque_filelog,4.39,2.2988486216765,1
replay_left_torque_filelog,4.4,2.13005119838593,1
replay_left_torque_filelog,4.41,2.14390892469812,1
replay_left_torque_filelog,4.42,2.14927707877901,1
replay_left_torque_filelog,4.43,2.14994726651379,1
replay_left_torque_filelog,4.44,2.15017690962654,1
replay_left_torque_filelog,4.45,2.15166788171935,1
replay_left_torque_filelog,4.46,2.1588023286198,1
replay_left_torque_filelog,4.47,2.17667479164578,1
replay_left_torque_filelog,4.48,2.20686376206766,1
replay_left_torque_filelog,4.49,2.24563065067803,1
replay_left_torque_filelog,4.5,2.28839066484808,1
replay_left_torque_filelog,4.51,2.32724608396989,1
replay_left_torque_filelog,4.52,2.3519244482218,1
replay_left_torque_filelog,4.53,2.36183690819179,1
replay_left_torque_filelog,4.54,2.36311490195274,1
replay_left_torque_filelog,4.55,2.35956734945665,1
replay_left_torque_filelog,4.56,2.35184627884936,1
replay_left_torque_filelog,4.57,2.33856537370201,1
replay_left_torque_filelog,4.58,2.32020961597252,1
replay_left_torque_filelog,4.59,2.29889073662416,1
replay_left_torque_filelog,4.6,2.2765061758442,1
replay_left_torque_filelog,4.61,2.25502121764814,1
replay_left_torque_filelog,4.62,2.23424982114484,1
replay_left_torque_filelog,4.63,2.21156273627682,1
replay_left_torque_filelog,4.64,2.18062889576313,1
replay_left_torque_filelog,4.65,2.46989460285315,1
replay_left_torque_filelog,4.66,2.424160739415,1
replay_left_torque_filelog,4.67,2.24758400213072,1
replay_left_torque_filelog,4.68,2.21995828839557,1
replay_left_torque_filelog,4.69,2.26691371304508,1
replay_left_torque_filelog,4.7,2.24690384252521,1
replay_left_torque_filelog,4.71,2.15581065151275,1
replay_left_torque_filelog,4.72,2.4363763260714,1
replay_left_torque_filelog,4.73,2.0806442130205,1
replay_left_torque_filelog,4.74,2.06866977124337,1
replay_left_torque_filelog,4.75,2.25234441230871,1
replay_left_torque_filelog,4.76,2.11159096815142,1
replay_left_torque_filelog,4.77,2.11835270016606,1
replay_left_torque_filelog,4.78,2.13922532416515,1
replay_left_torque_filelog,4.79,2.16387258665195,1
replay_left_torque_filelog,4.8,2.17112225521605,1
replay_left_torque_filelog,4.81,2.17116660971137,1
replay_left_torque_filelog,4.82,2.16421565902776,1
replay_left_torque_filelog,4.83,2.14920799934604,1
replay_left_torque_filelog,4.84,2.12978920236924,1
replay_left_torque_filelog,4.85,2.10715140946311,1
replay_left_torque_filelog,4.86,2.08572657397482,1
replay_left_torque_filelog,4.87,2.07052479942433,1
replay_left_torque_filelog,4.88,2.06147814988412,1
replay_left_torque_filelog,4.89,2.05509291575404,1
replay_left_torque_filelog,4.9,2.04988038779387,1
replay_left_torque_filelog,4.91,2.04206969611623,1
replay_left_torque_filelog,4.92,2.03653044491771,1
replay_left_torque_filelog,4.93,2.31617792229393,1
replay_left_torque_filelog,4.94,2.02830157895447,1
replay_left_torque_filelog,4.95,2.14269658979652,1
replay_left_torque_filelog,4.96,2.41665385486267,1
