Name,BlockType,Parent,Parameter,Sources,Destinations,Path
Memory8,Memory,TestStructure/InterForceControlTask/DMP/cuur_params1,"InitialCondition=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Switch7,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch15; TestStructure/InterForceControlTask/DMP/cuur_params1/Switch7; TestStructure/InterForceControlTask/DMP/cuur_params1/y0_demo_out,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory8
Switch,Switch,TestStructure/InterForceControlTask/DMP/cuur_params1,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Memory1; TestStructure/InterForceControlTask/DMP/cuur_params1/done; TestStructure/InterForceControlTask/DMP/cuur_params1/weights,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory1,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch
Switch1,Switch,TestStructure/InterForceControlTask/DMP/cuur_params1,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Memory2; TestStructure/InterForceControlTask/DMP/cuur_params1/centers; TestStructure/InterForceControlTask/DMP/cuur_params1/done,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory2,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch1
Switch2,Switch,TestStructure/InterForceControlTask/DMP/cuur_params1,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Memory4; TestStructure/InterForceControlTask/DMP/cuur_params1/done; TestStructure/InterForceControlTask/DMP/cuur_params1/widths,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory4,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch2
Switch3,Switch,TestStructure/InterForceControlTask/DMP/cuur_params1,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Memory5; TestStructure/InterForceControlTask/DMP/cuur_params1/done; TestStructure/InterForceControlTask/DMP/cuur_params1/y0,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory5,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch3
Switch4,Switch,TestStructure/InterForceControlTask/DMP/cuur_params1,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Memory3; TestStructure/InterForceControlTask/DMP/cuur_params1/done; TestStructure/InterForceControlTask/DMP/cuur_params1/v0,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory3,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch4
Switch5,Switch,TestStructure/InterForceControlTask/DMP/cuur_params1,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Memory6; TestStructure/InterForceControlTask/DMP/cuur_params1/done; TestStructure/InterForceControlTask/DMP/cuur_params1/goal,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory6,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch5
Switch6,Switch,TestStructure/InterForceControlTask/DMP/cuur_params1,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/cuur_params1/A_demo; TestStructure/InterForceControlTask/DMP/cuur_params1/Memory7; TestStructure/InterForceControlTask/DMP/cuur_params1/done,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory7,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch6
Switch7,Switch,TestStructure/InterForceControlTask/DMP/cuur_params1,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Memory8; TestStructure/InterForceControlTask/DMP/cuur_params1/done; TestStructure/InterForceControlTask/DMP/cuur_params1/y0_demo,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory8,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch7
iner_phase_offset,Constant,TestStructure/InterForceControlTask/DMP,"Value=0",,TestStructure/InterForceControlTask/DMP/MATLAB Function8,TestStructure/InterForceControlTask/DMP/iner_phase_offset
